"Name","Count","gender"
"AMARU","49","m"
"AMARVEER","49","m"
"AMARVIR","7","m"
"AMAURI","0","m"
"AMAURY","21","m"
"AMAY","32","m"
"AMAZIAH","9","m"
"AMBROSE","168","m"
"AMED","21","m"
"AMEDEO","3","m"
"AMEEN","341","m"
"AMEER","528","m"
"AMEL","3","m"
"AMELIO","7","m"
"AMEN","79","m"
"AMER","134","m"
"AMEYA","12","m"
"AMEZ","3","m"
"AMIAS","18","m"
"AMID","9","m"
"AMIEL","36","m"
"AMIIN","30","m"
"AMIIR","9","m"
"AMIL","55","m"
"AMIN","727","m"
"AMINE","176","m"
"AMINOOR","4","m"
"AMINUL","56","m"
"AMINUR","53","m"
"AMIR","2","m"
"AMIRALI","4","m"
"AMIRUL","28","m"
"AMISH","19","m"
"AMIT","202","m"
"AMITAI","7","m"
"AMITOJ","6","m"
"AMJAD","104","m"
"AMJED","10","m"
"AMJID","3","m"
"AMMAAR","296","m"
"AMMAD","19","m"
"AMMAN","125","m"
"AMMAR","750","m"
"AMOGH","26","m"
"AMOL","4","m"
"AMON","31","m"
"AMOR","3","m"
"AMORY","10","m"
"AMOS","519","m"
"AMR","151","m"
"AMRAIZ","3","m"
"AMRAJ","25","m"
"AMRAN","30","m"
"AMRIK","80","m"
"AMRINDER","3","m"
"AMRIT","376","m"
"AMRITPAL","85","m"
"AMRO","20","m"
"AMROM","14","m"
"AMRY","4","m"
"AMUN","29","m"
"AMZA","3","m"
"AN","13","m"
"ANAIAH","4","m"
"ANAKIN","102","m"
"ANAM","6","m"
"ANAN","6","m"
"ANAND","225","m"
